relevant,entities,id,A,B,C
1,O O O O O PRO O O O O O PRO O,821358603961569281,1,1,0
1,O ORG PRO VUL VUL VUL PRO VUL VUL VUL O,824542272494665728,0,0,1
-1,,818543951963680769,1,1,0
1,O O PRO O O O O O PRO O,824890707437445121,1,1,0
1,ORG PRO PRO O O O O O O O ORG O O,806766458160091138,0,0,1
1,O PRO PRO O O O O VUL VUL PRO PRO O,809769425486364673,1,1,0
1,PRO VER VUL VUL VUL VUL VUL VUL VER VUL VUL VUL VUL VUL,813826221570146308,1,1,0
1,ORG PRO VER VER VER VUL VUL VUL PRO VER VER VER O O O,804775456343998464,0,0,1
1,O O ID O O O O O O O PRO PRO,806906900327579649,1,1,0
1,ORG PRO VER VER VUL VUL VUL PRO VER VER VUL VUL VUL,816076184106782720,0,0,1
1,O O O O PRO O O PRO O O,816565513946066945,1,1,0
1,ORG PRO VER VUL VUL VUL ORG PRO VER VUL VUL VUL O O O,804723897304305668,0,0,1
1,O PRO PRO ID VUL VUL VUL VUL VUL PRO ID O O O,823642224349024259,1,1,0
1,O ORG PRO VUL VUL VUL VUL VUL VUL PRO O O O O,819245902149910536,0,0,1
1,PRO O O O PRO O O O O PRO O O,811588257465176064,1,1,0
1,O O O O O PRO O O PRO O,816565008188526592,1,1,0
1,O ORG PRO PRO ID VUL VUL VUL PRO PRO ID O,821541733599166466,0,1,0
1,O ORG PRO PRO ID VUL VUL VUL PRO PRO O O,801501681108340736,0,1,1
-1,,816200310221918208,0,0,1
1,O ORG PRO PRO PRO ID VUL VUL VUL VUL O,801034771124121600,0,0,1
-1,,801868215357947904,0,0,1
1,O ORG PRO O PRO O VUL VUL VUL PRO O PRO O,819182955461574656,1,1,1
1,O PRO PRO ID VUL VUL VUL VUL VUL PRO ID O O,823624666828914689,1,1,0
1,O ID ORG PRO PRO VER O O O O VUL VUL O,801033076772048900,0,0,1
-1,,819948327093628928,1,0,1
1,O O O O O O O O PRO O,803644345832316928,0,1,1
1,ORG PRO PRO PRO VUL VUL VUL ORG PRO PRO PRO VUL VUL VUL,814186587722547202,0,0,1
1,O ORG PRO PRO O PRO ID VUL VUL VUL PRO VER,821510185449558016,0,1,1
1,O ORG PRO PRO VUL VUL VUL VUL O O O,809097542835306499,0,0,1
1,O O ID ID PRO O O O O O O,823452330553147393,0,1,0
1,O ORG PRO PRO ID VUL VUL VUL VUL VUL VUL VUL VUL O O,819258461523415041,0,0,1
1,O PRO PRO ID VUL VUL VUL VUL VUL PRO PRO VER,823492600011390976,1,1,0
1,O ORG PRO PRO ID VUL VUL VUL PRO PRO O PRO VER VER O,821117631495282690,0,1,1
1,O ORG ORG PRO PRO ID VUL VUL VUL VUL O PRO PRO O,815881131635724289,0,1,1
-1,,803875089695510528,0,0,1
1,O ORG PRO PRO ID VUL VUL VUL VUL VUL O O,809142735504637954,0,0,1
1,O ORG PRO PRO PRO ID VUL VUL VUL PRO PRO PRO ID,821529072559865856,0,1,0
1,O O O PRO VER O O O PRO,803680831772434432,0,0,1
1,O PRO PRO ID VUL VUL VUL O O O O,819892151127592960,0,1,0
1,O ORG PRO PRO O O VUL VUL ID,801863285633073156,0,0,1
-1,,803531367086596096,1,1,1
1,O PRO PRO ID VUL VUL VUL VUL PRO PRO O,803224221115551744,1,1,0
1,ORG PRO O PRO VER O VUL VUL VUL,801737826526232576,0,1,1
1,O PRO PRO PRO PRO VUL VUL VUL VUL PRO VER,804324974018396161,1,1,0
1,O ORG PRO PRO VUL VUL VUL VUL PRO PRO VUL VUL VUL,809066839271731200,0,0,1
-1,,803410721346355201,0,0,1
-1,,804898136770641920,0,0,1
1,O O O O O O O O O PRO,803790894725902336,0,0,1
1,O O O O PRO VER O O VUL VUL O PRO,803741171545702401,0,0,1
1,PRO PRO VER VUL VUL VUL PRO PRO VER VUL VUL VUL O O,818381648765001728,0,1,0
-1,,801731433849090048,0,0,1
1,O ORG PRO PRO ID VUL VUL VUL O O,818548684812091393,0,1,0
1,O O ORG PRO PRO VER O PRO VER VUL VUL VUL ORG O,804703825647046665,0,0,1
1,O O PRO VUL VUL O O O,801725098466086912,0,0,1
1,O PRO VER O O O O O O,804333984045998080,0,0,1
1,ORG PRO VER VER VUL VUL VUL VUL PRO VER VER VUL VUL VUL O,818381682537562113,0,0,1
-1,,801064883957727232,0,0,1
-1,,802127336338575360,0,0,1
1,O O ID ORG PRO PRO VER O O O O O O,801035634093813760,0,0,1
1,O PRO PRO ID VUL VUL VUL VUL PRO VER,816224734971105280,0,1,1
-1,,804072362576662533,0,0,1
-1,,802353703940407296,0,0,1
-1,,802443039381798912,0,0,1
-1,,806538506378027009,0,0,1
-1,,802248967761383424,0,0,1
1,O O O O PRO VER PRO ID O O,801677443488747521,0,0,1
-1,,802205798860460032,0,0,1
-1,,801674235638730752,0,0,1
1,O O ID VUL VUL VUL VUL PRO PRO O,816286208569602048,1,1,1
-1,,802972778475507712,0,0,1
1,O O ORG PRO ID VUL VUL VUL VUL,808827884798361600,0,0,1
1,PRO PRO VER VUL VUL VUL PRO VER VUL VUL VUL O O,804775460538355716,1,1,0
-1,,801526617986269185,0,0,1
1,O ORG PRO PRO O PRO ID VUL VUL VUL PRO O,805729465611485184,0,1,1
1,O O ID VUL VUL VUL VUL VUL VUL VUL VUL O,804371580256194569,1,0,0
1,O PRO VER VER O ID ID,803664386996867073,0,0,1
1,PRO O O O O O O,806255070400626689,0,0,1
-1,,801133735282409472,0,0,1
1,O ORG PRO PRO ID VUL VUL VUL PRO PRO O O,821510183386042368,0,1,1
1,O ORG PRO O VER VER VER VER VER O VER O PRO VUL VUL,802059860527419392,0,0,1
-1,,803048337222103040,0,0,1
1,O ORG PRO PRO PRO VUL VUL VUL O,809040046921641988,0,0,1
1,O O ORG PRO PRO O ID VUL VUL VUL VUL,801088428842618880,0,0,1
-1,,802548015567278080,0,0,1
-1,,804010881893822464,0,0,1
-1,,801542337247793152,0,0,1
-1,,801122657899053057,0,0,1
-1,,803494420435832832,0,0,1
1,VUL VUL O PRO PRO O O O O PRO,809336547023683584,0,0,1
1,O O O O O O O PRO VUL VUL O O,802207959531057152,0,1,1
-1,,803648688568422400,0,0,1
-1,,803650146416390144,0,0,1
-1,,801058307167416320,0,0,1
1,PRO VER O ID ID,801699247842357248,0,0,1
-1,,804613157025091584,0,0,1
1,O VUL VUL O O O O O O O O O O O O PRO,803653592968261632,0,0,1
1,O ORG O O O O PRO PRO O O,803058877407358976,0,0,1
-1,,801678606627958784,0,0,1
-1,,802338622108266496,0,0,1
1,O PRO VER O O O O VUL VUL O,808974846906372096,0,0,1
-1,,803695027650236420,0,0,1
-1,,802534979783622657,0,0,1
1,O ORG PRO ORG O O O O O O,802335519560572928,0,0,1
-1,,802821908869758976,0,0,1
-1,,803290633293230080,0,0,1
-1,,802628481188102144,0,0,1
1,ORG PRO VER VER VUL VUL VUL PRO VER VER VUL VUL VUL,806964647798734848,0,0,1
1,ID O O O PRO PRO ID,808923063186288640,0,0,1
1,O ORG PRO PRO O PRO ID VUL VUL VUL VUL PRO PRO,823501402534268928,0,0,1
-1,,803508379243216896,0,0,1
-1,,803440886327767040,0,0,1
-1,,814013999545221120,0,0,1
-1,,802196735053307904,1,0,1
1,O ORG PRO PRO ID VUL VUL VUL PRO PRO O O,801517966114357256,0,1,1
-1,,802429191761301505,0,0,1
-1,,801761035397070848,0,0,1
-1,,801727607263948800,0,0,1
1,O O O O O O O O O ORG,803681839449853952,0,0,1
1,O ID ID PRO PRO VUL VUL VUL VUL,803217736784560128,0,0,1
1,ORG O O O O PRO PRO O O O O O O,803186131705692160,0,0,1
-1,,803284042657517568,0,0,1
-1,,802858641376313344,0,0,1
1,O ORG PRO PRO VER O PRO VER O O O O O O O O,801566773422133248,0,0,1
1,ID ID ORG PRO O VUL VUL VUL VUL VUL O O ORG,803123787268923393,1,0,1
1,O ORG PRO PRO O VUL VUL,803416329386655744,0,0,1
-1,,801564784286191619,0,0,1
-1,,803183784782741504,0,0,1
-1,,803378483078529025,0,0,1
-1,,802595394152562688,0,0,1
1,O ORG PRO PRO PRO O O O VUL VUL VUL VUL PRO PRO PRO,819219507377999872,0,0,1
-1,,802105146532622336,0,0,1
1,O O ORG PRO PRO O ID VUL VUL VUL VUL,801035640443994113,0,0,1
1,O ORG PRO PRO O PRO O O VUL VUL VUL VUL,809037847680389120,0,0,1
-1,,802927478578655232,0,0,1
1,ORG ORG ID ID ID O,803649891792814080,0,1,1
1,ORG PRO O O O VER O VER VER O VER VER O VER O VER O VER O,803412091034071040,0,0,1
1,O ORG O VUL VUL VUL VUL,809071534077865984,0,0,1
-1,,803652267366719488,1,0,1
-1,,805720897231294468,0,0,1
-1,,803289584243212288,0,0,1
-1,,803429179534479360,1,0,1
-1,,802655670394703873,0,0,1
-1,,805720934028103680,0,0,1
-1,,806576210516082688,0,0,1
-1,,806109770205818880,0,0,1
-1,,804138525474091008,0,0,1
-1,,803924654259834880,0,0,1
-1,,804762089428434944,1,0,1
